0,Area name,Age 4 and under,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and over
E06000001,,5700,5700,6300,6000,5600,5000,5400,6500,7300,5200,6500,5600,5800,4200,3900,3300,2200,1300,500
E06000002,,9400,8500,10100,11700,9800,8300,8100,9000,9900,8300,9200,7900,7500,5700,5200,4300,3100,1700,800
E06000003,,7600,7800,8800,8100,7600,7000,7700,9500,10400,7100,9400,8500,9500,7800,6600,5000,3700,2100,1000
E06000004,,12300,11500,12800,12700,12600,11400,12000,14100,14600,11000,13400,11600,11600,8700,7400,6100,4300,2400,1100
E06000005,,6600,6200,6400,6100,6600,6400,6800,7600,8000,6100,7300,6300,6700,5200,4500,3500,2600,1700,800
E06000006,,8400,7600,8100,8000,8100,7700,8300,9000,9300,7400,8800,8100,8500,5800,4600,3600,2500,1300,600
E06000007,,12300,12300,12500,12100,12500,12200,14100,16000,16600,11600,13600,11800,12400,10000,8200,6000,4300,2500,1200
E06000008,,11300,10300,10200,9700,11000,9900,10100,10800,9900,10500,8900,7900,7900,5700,4700,3700,2700,1500,800
E06000009,,8200,8100,8600,8500,8600,7800,8600,10500,11000,7400,9700,8400,9400,7700,6600,5200,3900,2400,1300
E06000010,,17400,13900,17400,24000,20300,17300,17200,17600,18000,14000,15900,13700,13800,9600,8700,7300,5500,3200,1500
E06000011,,16400,18600,20400,15800,15100,15900,20000,24400,26100,16600,23900,22400,27100,21100,17600,14000,9800,5900,3100
E06000012,,10000,9300,10300,10500,10000,8700,9800,11300,12000,9000,10700,9600,10200,7800,6900,5700,4100,2500,1300
E06000013,,10300,9600,10200,9500,10000,9100,10200,12400,12900,9400,11600,10900,11500,9000,7200,5800,4200,2500,1200
E06000014,,10700,9700,14100,19700,14200,12600,12500,13800,13700,9300,12000,10600,11700,9100,7800,6600,5000,3200,1700
E06000015,,17700,14900,16700,20100,18200,16600,16700,18000,17600,15000,14600,12400,12600,10200,8700,7600,6000,3600,1700
E06000016,,24300,20200,24500,35400,29600,25300,22000,20900,20200,20800,19000,16500,14100,10000,8900,7300,5600,3600,1800
E06000017,,1900,2400,2900,1700,1900,1900,2100,2700,2600,1900,2500,2400,2700,2300,1900,1400,1100,700,400
E06000018,,20000,15900,27100,42800,26200,22400,19400,19600,18500,16400,15800,13400,12600,9300,8200,7200,5700,3500,1600
E06000019,,9600,10500,10700,9400,9700,9600,10400,12800,14000,9200,12700,12300,13600,11400,9100,7600,5600,3500,1800
E06000020,,11300,10600,11500,10900,10900,10300,11100,12900,12700,10000,10500,9900,10000,7900,6000,4400,3000,1800,900
E06000021,,17100,14300,16000,19100,18200,15800,16100,17800,17400,14200,15500,14000,14700,11600,9400,7500,5600,3300,1400
E06000022,,9200,9600,13300,16000,10100,9500,10700,12200,12800,8700,11100,10100,10800,8800,7100,6000,4900,3200,1700
E06000023,,29600,21700,27000,44400,40800,36400,30400,28300,27100,22800,23300,20400,20100,15200,12500,10700,8500,5800,3100
